AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
9.668415,3.358027,1.623333,-0.178767,-0.30507,-0.408149,R2
9.677363,4.012263,1.740877,-0.155136,-0.293324,-0.342238,R2
9.421338,2.538174,1.146672,-0.061488,-0.259221,-0.743582,R1
9.414633,2.413841,1.115153,-0.075493,-0.227645,-0.685879,R1
9.407928,2.289509,1.083634,-0.089498,-0.196069,-0.628177,R1
9.401223,2.165176,1.052115,-0.103502,-0.164493,-0.570474,R1
9.394518,2.040843,1.020596,-0.117507,-0.132917,-0.512771,R1
9.197222,2.214752,1.061936,-0.060951,-0.094911,-0.53503,R1
9.838262,2.694484,1.259444,-0.289458,-0.406203,-0.659073,R1
9.943226,2.606138,1.678957,-0.28024,-0.40564,-0.61863,R1
10.048191,2.517792,2.098471,-0.271022,-0.405077,-0.578187,R1
10.117153,2.729539,2.169479,-0.24611,-0.404892,-0.555229,R1
10.186114,2.941286,2.240488,-0.221197,-0.404707,-0.532271,R1
10.255075,3.153032,2.311497,-0.196284,-0.404521,-0.509313,R1
9.881783,3.847753,1.205947,0.242991,-0.507562,-0.564238,R1
9.739457,3.998912,1.228666,0.198556,-0.489624,-0.532343,R1
9.597132,4.150071,1.251386,0.154121,-0.471686,-0.500448,R1
9.454805,4.30123,1.274105,0.109686,-0.453747,-0.468553,R1
9.312479,4.452389,1.296825,0.065251,-0.435809,-0.436658,R1
9.893691,5.174346,1.465626,0.153456,-0.407835,-0.435649,R1
10.263385,1.583075,1.965864,-0.298797,-0.461508,-0.456634,R1
10.172311,1.849972,1.796047,-0.266724,-0.452179,-0.448296,R1
10.081237,2.116868,1.626231,-0.234651,-0.442851,-0.439958,R1
9.990163,2.383764,1.456414,-0.202578,-0.433523,-0.431621,R1
9.899089,2.65066,1.286598,-0.170505,-0.424195,-0.423283,R1
9.720896,2.856748,1.305998,-0.136709,-0.401717,-0.451315,R1
2.415516,0.421452,0.136892,-0.035275,-0.057827,-0.181031,R1
4.831033,0.842905,0.273784,-0.070549,-0.115653,-0.362062,R1
